"SECTOR","STATE","YEAR","TYPE","STATUS","COST"
"Infrastructure","AU-QLD",2019,"EXPANSION","Feasibility",1800
"Infrastructure","AU-QLD",2017,"EXPANSION","Feasibility",1400
"Coal","AU-QLD",2018,"NEW PROJECT","Feasibility",8200
"Infrastructure","AU-WA",2015,"EXPANSION","Completed",300
"Gold","AU-WA",2016,"NEW PROJECT","Announced",244
"Coal","AU-NSW",2016,"EXPANSION","Committed",994
"Infrastructure","AU-QLD",2019,"NEW PROJECT","Feasibility",1000
"Infrastructure","AU-QLD",2018,"NEW PROJECT","Feasibility",600
"Coal","AU-NSW",2017,"EXPANSION","Feasibility",83
"LNG, Gas, Oil","AU-QLD",2015,"NEW PROJECT","Committed",24700
"Iron Ore","AU-WA",2018,"NEW PROJECT","Feasibility",1165
"Iron Ore","AU-WA",2021,"NEW PROJECT","Feasibility",3300
"Coal","AU-QLD",2015,"EXPANSION","Committed",311
"Coal","AU-QLD",2019,"EXPANSION","Feasibility",100
"LNG, Gas, Oil","AU-VIC",2016,"EXPANSION","Committed",200
"Coal","AU-QLD",2018,"NEW PROJECT","Announced",869
"Coal","AU-NSW",2017,"EXPANSION","Feasibility",689
"Coal","AU-NSW",2015,"EXPANSION","Completed",475
"Lead, Zinc, Silver","AU-NSW",2016,"NEW PROJECT","Feasibility",350
"Infrastructure","AU-QLD",2018,"NEW PROJECT","Announced",1000
"LNG, Gas, Oil","AU-QLD",2017,"NEW PROJECT","Feasibility",500
"Other Commodities","AU-WA",2017,"NEW PROJECT","Feasibility",329
"LNG, Gas, Oil","AU-WA",2021,"NEW PROJECT","Announced",5000
"Iron Ore","AU-WA",2021,"NEW PROJECT","Feasibility",810
"Gold","AU-WA",2016,"REDEVELOPMENT","Feasibility",346
"Other Commodities","AU-WA",2015,"NEW PROJECT","Committed",775
"Coal","AU-QLD",2016,"NEW PROJECT","Feasibility",1591
"Coal","AU-QLD",2017,"NEW PROJECT","Feasibility",16500
"Coal","AU-NSW",2021,"NEW PROJECT","Announced",1000
"Copper","AU-SA",2021,"NEW PROJECT","Feasibility",2985
